,colors,description,name,price
0,Fling; Delineated; Strut; Lingering; Brunette; Tapered; Accentuated; Spiked; Stud; Stylized,"Mechanical-Style, Self-Sharpening, Defining",Eye Brows,$16.50
1,Clear; Girl Boy; Beguile; Show-off,"Gel Formula, Adds Shine, Flake-Proof",Brow Set,$17.00
2,Deep Dark Brunette; True Brunette; Dirty Blonde; Ash Blonde; Redhead,"Gel-Like Formula, Waterproof, Long-Wearing",Fluidline Brow Gelcreme,$16.50
3,Toasted Blonde; Emphatically Blonde; Red Chestnut; Quiet Brunette; Bold Brunette; Brown Ebony,"Gel Formula, Waterproof, Long-Wearing",Pro Longwear Waterproof Brow Set,$17.00
4,Strawberry Blonde; Redhead; Brunette; Deep Brunette; Deep Dark Brunette,"Pencil-Style, Long-Wearing, Added Spoolie",Veluxe Brow Liner,$21.00
5,**No Colors Found**,"Mechanical-Style, Wax-Like, Non-Sticky",Brow Finisher,$17.00
6,**No Colors Found**,"Pen-Style, Liquid Formula, Long-Wearing",Penultimate Brow Marker,$21.00
7,All That Glitters; Amber Lights; Antiqued; Aquadisiac; Arena; Atlantic Blue; Bamboo; Beautiful Iris; Beauty Marked; Black Tied; Blackberry; Blanc Type; Bronze; Brown Down; Brown Script; Brule; Brun; Carbon; Charcoal Brown; Cheer Me On; Chrome Yellow; Club; Concrete; Contrast; Coppering; Copperplate; Coquette; Corduroy; Cork; Cranberry; Creme de Violet; Crystal Avalanche; Da Bling; Dazzlelight; Deep Truth; Electra; Electric Eel; Embark; Era; Espresso; Everyone's Darling; Expensive Pink; Fig. 1; Filament; Folie; Forgery; Free to Be; Freshwater; Gesso; Girlie; Gleam; Goldmine; Gorgeous Gold; Grain; Greensmoke; Handwritten; Haux; Honesty; Honey Lust; Humid; Idol Eyes; Jest; Kid; Knight Divine; Lucky Green; Malt; Moon's  Reflection; Motif; Mulch; Mylar; Mystery; Mythology; Naked Lunch; Nehru; Nocturnelle; Nylon; Omega; Orb; Paradisco; Parfait Amour; Passionate; Patina; Phloof!; Pink Freeze; Pink Venus; Plum Dressing; Plumage; Print; Quarry; Red Brick; Retrospeck; Ricepaper; Rule; Sable; Saddle; Satellite Dreams; Satin Taupe; Scene; Shadowy Lady; Shale; Shroom; Silver Ring; Sketch; Smut; Soba; Soft Brown; Star Violet; Stars N' Rockets; Steamy; Sumptuous Olive; Sushi Flower; Sweet Lust; Swimming; Swish; Swiss Chocolate; Tempting; Texture; Tilt; Trax; Twinks; Typographic; Vanilla; Vapour; Vex; Vibrant Grape; Wedge; Well Behaved; White Frost; Woodwinked; Yogurt,"Rich Colour, Professional, Iconic",Eye Shadow,$16.00
8,All That Glitters; Amber Lights; Antiqued; Aqua; Aquadisiac; Arena; Atlantic Blue; Bamboo; Beautiful Iris; Beauty Marked; Bitter; Black Tied; Blackberry; Blanc Type; Bottle Green; Bright Sunshine; Bronze; Brown Down; Brown Script; Brule; Brun; Carbon; Charcoal Brown; Chrome Yellow; Club; Cobalt; Concrete; Contrast; Coppering; Copperplate; Coquette; Coral; Corduroy; Cork; Cranberry; Crème de Violet; Crystal Avalanche; Da Bling; Dazzlelight; Deep Damson; Deep Truth; Digit; Electra; Electric Eel; Embark; Era; Espresso; Expensive Pink; Fig. 1; Filament; Folie; Forgery; Free to Be; Freshwater; Gesso; Girlie; Gleam; Goldenrod; Goldmine; Gorgeous Gold; Grain; Greensmoke; Ground Brown; Handwritten; Haux; Honesty; Honey Lust; Humid; Idol Eyes; Indian Ink; Jest; Kelly; Kid; Knight Divine; Lime; Lucky Green; Malt; Moon's Reflection; Motif; Mulch; Mylar; Mystery; Mythology; Naked Lunch; Naval; Nehru; Nocturnelle; Nylon; Omega; Orb; Paradisco; Parfait Amour; Passionate; Patina; Phloof!; Pink Freeze; Pink Venus; Plum Dressing; Plumage; Print; Quarry; Red Brick; Retrospeck; Ricepaper; Rule; Sable; Saddle; Satellite Dreams; Satin Taupe; Scene; Shadowy Lady; Shale; Shroom; Silver Ring; Sketch; Smut; Soba; Soft Brown; Soot; Sour Lemon; Star Violet; Stars 'N' Rockets; Steamy; Sumptuous Olive; Sushi Flower; Sweet Lust; Swimming; Swish; Swiss Chocolate; Tempting; Texture; Tilt; Trax; Twinks; Typographic; Vanilla; Vapour; Vex; Vibrant Grape; Wedge; White Frost; Woodwinked; Yogurt,"Rich Colour, Professional, Portable",Eye Shadow / Pro Palette Refill Pan,$10.00
9,Clearwater; Imaginary; Nice Composure; Stroke My Ego; Chrome Angel; Chilled on Ice; Let's Skate; Rubenesque; Bare Study; Perky; Soft Ochre; Let Me Pop; Layin’ Low; Painterly; Indianwood; Groundwork; Vintage Selection; Camel Coat; Constructivist; Antique Diamond; Stormy Pink; Tailor Grey; Frozen Violet; Dangerous Cuvée; Blackground; Quite Natural,"Long-Wearing, Blendable, Creamy",Pro Longwear Paint Pot,$22.00
10,Ascent of Glamour; Night Thrill; Moon is Blue; Tonight's the Night!; No Taboos,"High Shine, Creamy, Full Coverage",Colourdrenched Pigments / Magic of The Night,$22.00
11,Collective Chic; Claretluxe; Lapisluxe; Cool Companions; Gingerluxe; Fabulous Three,"High Shine, Powder Hybrid, Three Shades",Veluxe Pearlfusion Shadow Trio,$25.00
12,Neo-Orange; Primary Yellow; Pure White; Naked; Vanilla; White; Melon; Electric Coral; White Gold; Fuchsia; Naked Dark; Tan; Rose; Silver Fog; Copper Sparkle; Kitschmas; Naked Deep Dark; Golden Olive; Chartreuse; Gold; Violet; Platinum; Pink Pearl; Silver; Hi-Def Cyan; Rose Gold; Old Gold; Blonde's Gold; Ruby Red; Copper; Deep Brown; Teal; Rich Purple; Heritage Rouge; Museum Bronze; Landscape Green; Blue Brown; Marine Ultra; Steel Blue; Emerald Green; Black Black; Deep Purple; Deep Blue Green; Naval Blue; Dark Soul,"Buildable Coverage, Rich Colour, Long-Wearing",Pigment,$22.00
13,Naked; Vanilla; Melon; Rose; Kitschmas; Violet; Old Gold; Blue Brown,"Buildable Coverage, Rich Colour, Long-Wearing",Pigment / Sized to Go,$10.00
14,Black Sands; Infra-Violet; Electroplate; Emerald Power; Brilliantly Lit; Gravitational; Electric Illumination; In Orbit; Photosphere; Iced; Dynamo; Love Power; Superwatt; Coil; Switch to Blue; Highly Charged,"Long-Wearing, Colour-True, Spongy Texture",Electric Cool Eye Shadow,$22.00
15,Get Physical; Let's Boogie; Say It Isn't So,"Colour-True, High Intensity, 3D Glitter Effect",Dazzleshadow,$20.00
16,Rock Candy; Flicker; Blonde Streak; Light Touch; Moth; Day Gleam; Blue Willow; Amethyst; Deeply Dashing; Black Grape; Smoky; Jet Couture; Midnight,"High Shine, Creamy, Sheer Coverage",Pressed Pigment,$22.00
17,Silver Sun; Ready To Party; A Natural Flirt; Stylishly Merry; Smoky Mauve; Amorous Alloy; Sweet Heat; Rich Core; Sea Worship; Evening Grey; Fathoms Deep; Havana; Silver Dawn; Legendary Lure; Grand Galaxy; Stolen Moment; Lunar; Dark Dare,"Hybrid Formula, High Shine, 6-Hour Wear",Extra Dimension Eye Shadow,$20.00
18,Bare Canvas; Sublime Nature; Untitled; Stilife; Bamboom,"Cream To Powder, Blendable,  Non-Creasing",Paints,$22.00
19,Cinderfella; Smutty Green; Gilt By Association; Young Punk; Blue Flame,"Nourishing, Buildable, Lightweight",Mineralize Eye Shadow,$22.00
20,Joy & Laughter; Love Connection; Spiced Metal; Dual Rays; Ever Amethyst,"Coordinated, Buildable, Lightweight",Mineralize Eye Shadow (Duo),$22.00
21,**No Colors Found**,"Buildable Coverage, Tacky Texture, Glossy Finish",M·A·C Studio Eye Gloss,$22.00
22,Fog & Mist; Golden Hours; Pink Sensibilities; Great Beyond; In the Meadow,"Coordinated, Buildable, Lightweight",Mineralize Eye Shadow (Quad),$22.00
23,A Glimmer of Gold; Pure Bred; Posh Pedigree; A Party of Pastels; A Medley of Mauves; A Waft of Grey; A Harvest of Greens; A Sprinkle of Blues,"Coordinated, Buildable, Lightweight",Mineralize Eye Shadow x4,$46.00
24,Pearl; Luna; Nude; Hush; Shell; Bronze; Tint; Dusk; MidTone Sepia; Root,"Cream Formula, Buildable Coverage, Multi-Use",Cream Colour Base,$22.00
25,Green Clean; Permanent Press; Warm Wash,"High Shine, Powder Hybrid, Three Colours In One",Veluxe Pearlfusion Shadow Trio / Wash & Dry,$27.50
26,**No Colors Found**,"4 Neutral Colours, Coordinated, Buildable",Morning Light: Eye Shadow x 4,$70.00
27,**No Colors Found**,"4 Blue Colours, Coordinated, Buildable",Night Sky: Eye Shadow x 4,$70.00
28,**No Colors Found**,"Eye Palette, 6 Shades, Mauve",Enchanted Eve Eyes / Mauve,$39.50
29,**No Colors Found**,"Eye Palette, 6 Shades, Warm Nude",Enchanted Eve Eyes / Warm,$39.50
30,**No Colors Found**,"Eye Palette, 6 Shades, Navy",Enchanted Eve Eyes / Navy,$39.50
31,**No Colors Found**,"Coordinated Kit, For Eyes, Black",Enchanted Eve Eye Bag / Smoky,$42.50
32,**No Colors Found**,"Coordinated Kit, For Eyes, Plum",Enchanted Eve Eye Bag / Plum,$42.50
33,**No Colors Found**,"Coordinated Kit, For Eyes, Brown",Enchanted Eve Eye Bag / Neutral,$42.50
34,**No Colors Found**,"Coordinated Neutrals, Professional, Portable",M·A·CNIFICENT ME! Eye Shadow x 9,$40.00
35,**No Colors Found**,"All-In-One Kit, For Eyes, Black Shades",Look In A Box Eye Kit/Classic Black ,$36.50
36,**No Colors Found**,"6 Talked-About Shades, Cream Formula, Buildable Coverage",M·A·C Trend Forecast Spring 16/Eye,$40.00
37,**No Colors Found**,"Coordinated Purples, Professional, Portable",Eye Shadow x 9: Purple Times Nine,$40.00
38,**No Colors Found**,"Coordinated Navies, Professional, Portable",Eye Shadow x 9: Navy Times Nine,$40.00
39,**No Colors Found**,"Coordinated Ambers, Professional, Portable",Eye Shadow x 9: Amber Times Nine,$40.00
40,**No Colors Found**,"Coordinated Burgundies, Professional, Portable",Eye Shadow x 9: Burgundy Times Nine,$40.00
41,**No Colors Found**,"15 Warm-Toned Shades, Multiple Looks, Versatile",Eye Shadow x15: Warm Neutral,$85.00
42,**No Colors Found**,"15 Cool-Toned Shades, Multiple Looks, Versatile",Eye Shadow x15: Cool Neutral,$85.00
43,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Peachluxe,$40.00
44,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Pinkluxe,$40.00
45,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Brownluxe,$40.00
46,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Copperluxe,$40.00
47,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Plumluxe,$40.00
48,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Smokeluxe,$40.00
49,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Greenluxe,$40.00
50,**No Colors Found**,"High Shine, Powder Hybrid, All-In-One",Veluxe Pearlfusion Shadow: Amberluxe,$40.00
51,**No Colors Found**,"Nordstrom-Exclusive, Multiple Looks, Versatile",Eye Shadow X 15: Nordstrom's Finest,$85.00
52,Light Boost; Radiant Rose; Bright Forecast; Peach Lustre,"Illuminating, Sheer Coverage, Long-Wearing",Prep + Prime Highlighter,$26.00
53,**No Colors Found**,"Long-Wearing, Crease-Proof, Fade-Proof",Prep + Prime 24-Hour Extend Eye Base,$22.00
54,**No Colors Found**,"Priming, Conditioning, Boosts Mascara",Prep + Prime Lash,$17.00
55,**No Colors Found**,"Natural Length, Dense, Slightly Wispy",1 Lash,$17.00
56,**No Colors Found**,"Long Length, Wispy, Dramatic",2 Lash,$17.00
57,**No Colors Found**,"Adds Length, Full, Natural-Looking",3 Lash,$17.00
58,**No Colors Found**,"Natural Length, Wispy, Natural-Looking",4 Lash,$17.00
59,**No Colors Found**,"Dramatic Length, Lush, Spikey Looking",6 Lash,$17.00
60,**No Colors Found**,"Natural Length, Glamorous, Natural-Looking",7 Lash,$17.00
61,**No Colors Found**,"Dramatic Length, Dense, Spikey Looking",8 Lash,$17.00
62,**No Colors Found**,"Dramatic Length, Ultimate Fullness, Lush",12 Lash,$17.00
63,**No Colors Found**,"Half Lash, Dense, Winged-Looking",20 Lash,$17.00
64,**No Colors Found**,"Adds Length, Full, Builds Volume",21 Lash,$17.00
65,**No Colors Found**,"Individual Lashes, Three Lengths, Customizable",30 Lash,$17.00
66,**No Colors Found**,"Natural Length, Adds Fullness, Wispy",31 Lash,$17.00
67,**No Colors Found**,"Natural Length, Adds Fullness, Natural-Looking",32 Lash,$17.00
68,**No Colors Found**,"Natural Length, Mod-Looking, Flirtatious",33 Lash,$17.00
69,**No Colors Found**,"Dramatic Length, Wispy, Winged-Looking",34 Lash,$17.00
